"","SG_PARTIDO","DT_PAGAMENTO","VR_PAGAMENTO"
"704","PCDOB","28/10/2018",1596
"705","PCDOB","28/11/2018",2057
"706","PCDOB","28/12/2018",1139
"707","PCDOB","29/03/2018",560
"708","PCDOB","29/06/2018",2564
"709","PCDOB","29/10/2018",1945
"710","PCDOB","29/11/2018",1197
"711","PCDOB","30/07/2018",554
"712","PCDOB","30/08/2018",5216
"713","PCDOB","30/10/2018",2718
"714","PCDOB","30/11/2018",1915
"715","PCDOB","31/08/2018",554
"716","PCDOB","31/10/2018",1664
"717","PDT","01/02/2018",1984
"718","PDT","01/03/2018",1979
"719","PDT","01/08/2018",395
"720","PDT","01/09/2018",395
"721","PDT","01/10/2018",22
"722","PDT","01/11/2018",395
"723","PDT","01/12/2018",395
"724","PDT","02/03/2018",2998
"725","PDT","02/05/2018",20
"726","PDT","02/10/2018",2160
"727","PDT","03/04/2018",20
"728","PDT","03/05/2018",8016
"729","PDT","03/09/2018",22
"730","PDT","04/07/2018",2877
"731","PDT","05/04/2018",2010
"732","PDT","05/07/2018",2137
"733","PDT","05/09/2018",1080
"734","PDT","05/10/2018",4140
"735","PDT","05/12/2018",2138
"736","PDT","06/02/2018",1680
"737","PDT","06/04/2018",395
"738","PDT","06/06/2018",395
"739","PDT","06/10/2018",1080
"740","PDT","07/02/2018",395
"741","PDT","07/03/2018",395
"742","PDT","07/06/2018",3787
"743","PDT","07/11/2018",2475
"744","PDT","07/12/2018",3975
"745","PDT","08/01/2018",2129
"746","PDT","08/06/2018",2400
"747","PDT","09/04/2018",956
"748","PDT","09/07/2018",4108
"749","PDT","09/08/2018",4264
"750","PDT","10/07/2018",2632
"751","PDT","10/09/2018",50
"752","PDT","10/10/2018",4687
"753","PDT","10/12/2018",8108
"754","PDT","11/10/2018",1835
"755","PDT","12/09/2018",2582
"756","PDT","12/11/2018",22
"757","PDT","12/12/2018",3051
"758","PDT","13/03/2018",5788
"759","PDT","13/06/2018",2155
"760","PDT","13/07/2018",726
"761","PDT","13/09/2018",5471
"762","PDT","14/03/2018",6268
"763","PDT","14/09/2018",3277
"764","PDT","14/11/2018",861
"765","PDT","14/12/2018",5578
"766","PDT","15/02/2018",1148
"767","PDT","15/03/2018",933
"768","PDT","15/06/2018",1148
"769","PDT","15/10/2018",8992
"770","PDT","16/02/2018",933
"771","PDT","16/04/2018",4106
"772","PDT","16/05/2018",1148
"773","PDT","16/06/2018",1083
"774","PDT","16/07/2018",1148
"775","PDT","16/10/2018",1835
"776","PDT","16/11/2018",1148
"777","PDT","17/01/2018",1148
"778","PDT","17/05/2018",933
"779","PDT","17/07/2018",933
"780","PDT","17/09/2018",1181
"781","PDT","17/12/2018",1148
"782","PDT","18/01/2018",933
"783","PDT","18/06/2018",933
"784","PDT","18/09/2018",4408
"785","PDT","18/12/2018",2042
"786","PDT","19/06/2018",10242
"787","PDT","19/09/2018",3900
"788","PDT","19/11/2018",934
"789","PDT","20/03/2018",7252
"790","PDT","20/06/2018",6065
"791","PDT","20/08/2018",1528
"792","PDT","21/06/2018",1010
"793","PDT","21/08/2018",2513
"794","PDT","22/05/2018",3062
"795","PDT","22/08/2018",3654
"796","PDT","22/10/2018",5884
